reviewText,True_sentiment,category
"  T!!!  Whether it's the ""single"", 'Tearrdop', with Elizabeth Fraser's ethereal vocals, or the heavy-rock inflected 'Angel' and 'Dissolved Girl', or the epic show-stopper 'Group Four', Massive seems as a group with no limitations  And even rap-haters can appreciate 3-D's low key, almost whispered rhymes on 'Inertia Creeps' and 'Risingson'.  Tihs one is cna't-miss",positive,"{'typos', 'punct'}"
"THE EPITOME OF TRIP-HOP its just one of those cds that you don't grow tired of.with  beatiful singing around every bend,there are only two tracks where you get  an actual sense of rap on it which are risingson and inertia creeps and  both are absolutely amazing as well as the rest of the albumif you're new  to trip-hop or are just curious check this out you won't be  dissapointed-later.",positive,"{'typos', 'punct'}"
 this is  an album not to be missed not only for trip-hop fans but everyone!!!,positive,"{'typos', 'punct'}"
" This CD is marvellous Almost aynthing can de said abou tthis CD - but it really should be all positive ""Teardrop"" and ""Inertia Creeps"" are  nearly enough to make this a must buy in themselves, but really the entire  album is worth listening to There is no point in ravnig about this album's  brilliance, all you need to know is that you should listen repeatedlyt o  this album at the very least",positive,"{'typos', 'punct'}"
,positive,"{'typos', 'punct'}"
" (actually 2 1/2 stars) This album is just what you would expect, I suppose, from the author of Martha My Dear and Why Don't We Do It In The Road!!!McCartney has always been about having a goodt ime, best foot  forward and all that, and I'm sure that the idea at the time was to record  an upbeat, homey-sounding little record with off-the-cuff spontaneity  Well, sink me if that isn't what he did!!! The uncertainty is a bit palpable all over Wild Life;  Mumbo, for example, might have been a scorching rocker if Paulie had been  bothered to write some lyrics and do a couple more takes; Dear Friend is a  conflicted counter-attack on Mr!!! Ono Lennon without a whole lot of  conviction; Paul comes across as hesitant ot really let loose on his  erstwhile bandmatewell, let's just say it lives up to it's  title.I mus tadmit at odd times, usually when in my cups, I'll go around  humming its absurdly catchy tune yLircs well,they're better than the ones  for MubmoI'll let it goa t that OK, I'm being a bit snide, I  know.again, some  second takes might have helped here!!! Thisw as dfeinitely one of Mr Mc's valleys,and the curious buyer  should take this into consideration!!!com didn't provide a track listing for  this rleease)I've always hada  soft spot for his covert f-you to his  critics Mary Had A Little Lamb, and its B-side Little Woman Love is a  rollicking number that would have improved Wild Life considerably",negative,"{'typos', 'punct'}"
"some of you dunces are on crack Okay some of you dunces, who said ""duhhrrr his tone is awful"" are total idiots, on this ablum, his guitar tone was probably his best, blended in well with the orchestra  If you like malmsteen you need to get this album don't get the US release, get the import and his attack album, because i'm sure you have his others!!!",positive,"{'typos', 'punct'}"
"Simply Amazing The first time I saw the name ""Concerto"" I was puzzled by what Malmsteen had done this time!!! This album was simply amazing, first off it is purely instrumental so don't expect any vocals from this one Imo I think thats good because I buy Malmsteen's albums purely just to hear what he plays!!! It starts off with a great beginning showing off what he has ocmposed This brilliant young man has composde all this I think that Malmsteen created this because he was finally trying to manifest his true desire I think he should ditch his whole metal type of music adn concentrate on this",positive,"{'typos', 'punct'}"
 Just do it and se ewhat he can do,positive,{'typos'}
" Yngwie is a excellent rocke lectric guitar improviser, but for himself to pose as a classical composer is a insult to classical music As fort he playing itself Yngwie does a decent job, but if we are to compare him to the best classical musicians, this sounds sloppy with no dynamics!!! Yngwie shines best in his early Rising Force albums with Jens Johasnson",negative,"{'typos', 'punct'}"
